hour,main_green,side_green,vehicles_count,main_vehicle_counts,side_vehicle_counts,status
0,50,10,58,44,14,SUCCESS
1,50,10,50,37,13,SUCCESS
2,50,10,44,32,12,SUCCESS
3,50,10,37,27,10,SUCCESS
4,50,10,32,23,9,SUCCESS
5,50,10,31,23,8,SUCCESS
6,50,10,33,25,8,SUCCESS
7,50,10,36,27,9,SUCCESS
8,50,10,41,31,10,SUCCESS
9,50,10,48,37,11,SUCCESS
10,50,10,59,47,12,SUCCESS
11,50,10,67,53,14,SUCCESS
12,50,10,68,54,14,SUCCESS
13,50,10,61,48,13,SUCCESS
14,50,10,65,50,15,SUCCESS
15,50,10,65,50,15,SUCCESS
16,50,10,64,49,15,SUCCESS
17,50,10,64,49,15,SUCCESS
18,50,10,67,52,15,SUCCESS
19,42,18,73,57,16,SUCCESS
20,50,10,71,55,16,SUCCESS
21,50,10,68,52,16,SUCCESS
22,50,10,66,51,15,SUCCESS
23,50,10,64,49,15,SUCCESS
